STATION_NAME,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPC,HOURLYDewPointTempC,HOURLYWindSpeed,HOURLYWindDirection,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 0:22,FM-16,SCT:04 5,10,17,13.9,11,0,0,N,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 0:46,FM-16,BKN:07 29 OVC:08 55,10,18,14.2,11,3,330,N/NW,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 0:51,FM-16,BKN:07 38 OVC:08 55,10,18,14.2,11,0,0,N,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 0:53,FM-15,BKN:07 46 OVC:08 55,10,17.2,14.1,11.7,0,0,N,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 1:53,FM-15,OVC:08 49,7,17.2,14.4,12.2,5,70,E/NE,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 2:53,FM-15,OVC:08 55,10,16.7,14.6,13.3,0,0,N,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 3:53,FM-15,BKN:07 47 OVC:08 55,10,16.7,14.6,13.3,0,0,N,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 4:53,FM-15,FEW:02 40 SCT:04 60,10,16.1,14.4,13.3,0,0,N,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 5:53,FM-15,BKN:07 44 OVC:08 65,10,16.7,14.9,13.9,3,340,N/NW,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 6:53,FM-15,,,16.7,14.9,13.9,,,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 7:53,FM-15,,,,,,,,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 8:53,FM-15,,,,,,,,,,,,,,,,,,,,,,,,,,
